"collectioncode","catalognumber","scientificname","commonname","datelastmodified","detectedby","receiver_group","station","receiver","bottom_depth","receiver_depth","tagname","codespace","sensorname","sensorraw","sensortype","sensorvalue","sensorunit","datecollected","timezone","longitude","latitude","the_geom","yearcollected","monthcollected","daycollected","julianday","timeofday","local_area","notes","citation","unqdetecid","contact_poc","contact_pi"
"HCTS","HCTS-A69-9007-6143-2022-03-09","Limulus polyphemus","horseshoe crab","2023-08-20","HCTS","HCTS","Gator Creek","release",NA,NA,"A69-9007-6143","","",NA,NA,NA,"","2022-03-09 12:00:00","UTC",-80.78707,28.62756,"0101000020E61000006A6AD95A5F3254C07B4FE5B4A7A03C40",2022,3,9,68,12,"Gator Creek","AGE: M; AGE_UNITS: Y,M,O","Fusco, K., et al. 2021.","HCTS-A69-9007-6143-2022-03-09-release-A69-9007-6143","Kirk Fusco (kirk.fusco@floridadep.gov)","Kirk Fusco (kirk.fusco@floridadep.gov)"
"HCTS","HCTS-A69-9007-6143-2022-03-09","Limulus polyphemus","horseshoe crab","2023-10-18","HCTSA","HCTSA","487549-NE","487549",1.2,0.3,"A69-9007-6143","A69-9007","A69-9007-6143",204,NA,NA,"ADC","2022-03-09 19:27:00","UTC",-80.78791,28.62577,"0101000020E61000003F8C101E6D3254C063D1747632A03C40",2022,3,9,68,19.45,"Titusville","","Fusco, K., et al. 2021.","HCTSA-A69-9007-6143-42828","Kirk Fusco (kirk.fusco@floridadep.gov)","Kirk Fusco (kirk.fusco@floridadep.gov)"
"HCTS","HCTS-A69-9007-6143-2022-03-09","Limulus polyphemus","horseshoe crab","2023-10-18","HCTSA","HCTSA","487549-NE","487549",1.2,0.3,"A69-9007-6143","A69-9007","A69-9007-6143",198,NA,NA,"ADC","2022-03-09 19:31:53","UTC",-80.78791,28.62577,"0101000020E61000003F8C101E6D3254C063D1747632A03C40",2022,3,9,68,19.5313888888889,"Titusville","","Fusco, K., et al. 2021.","HCTSA-A69-9007-6143-42832","Kirk Fusco (kirk.fusco@floridadep.gov)","Kirk Fusco (kirk.fusco@floridadep.gov)"
"HCTS","HCTS-A69-9007-6143-2022-03-09","Limulus polyphemus","horseshoe crab","2023-10-18","HCTSA","HCTSA","487549-NE","487549",1.2,0.3,"A69-9007-6143","A69-9007","A69-9007-6143",197,NA,NA,"ADC","2022-03-09 20:36:25","UTC",-80.78791,28.62577,"0101000020E61000003F8C101E6D3254C063D1747632A03C40",2022,3,9,68,20.6069444444444,"Titusville","","Fusco, K., et al. 2021.","HCTSA-A69-9007-6143-42869","Kirk Fusco (kirk.fusco@floridadep.gov)","Kirk Fusco (kirk.fusco@floridadep.gov)"
"HCTS","HCTS-A69-9007-6143-2022-03-09","Limulus polyphemus","horseshoe crab","2023-10-18","HCTSA","HCTSA","487549-NE","487549",1.2,0.3,"A69-9007-6143","A69-9007","A69-9007-6143",197,NA,NA,"ADC","2022-03-09 20:45:24","UTC",-80.78791,28.62577,"0101000020E61000003F8C101E6D3254C063D1747632A03C40",2022,3,9,68,20.7566666666667,"Titusville","","Fusco, K., et al. 2021.","HCTSA-A69-9007-6143-42873","Kirk Fusco (kirk.fusco@floridadep.gov)","Kirk Fusco (kirk.fusco@floridadep.gov)"
"HCTS","HCTS-A69-9007-6143-2022-03-09","Limulus polyphemus","horseshoe crab","2023-10-18","HCTSA","HCTSA","487549-NE","487549",1.2,0.3,"A69-9007-6143","A69-9007","A69-9007-6143",197,NA,NA,"ADC","2022-03-09 20:50:18","UTC",-80.78791,28.62577,"0101000020E61000003F8C101E6D3254C063D1747632A03C40",2022,3,9,68,20.8383333333333,"Titusville","","Fusco, K., et al. 2021.","HCTSA-A69-9007-6143-42876","Kirk Fusco (kirk.fusco@floridadep.gov)","Kirk Fusco (kirk.fusco@floridadep.gov)"
"HCTS","HCTS-A69-9007-6143-2022-03-09","Limulus polyphemus","horseshoe crab","2023-10-18","HCTSA","HCTSA","487549-NE","487549",1.2,0.3,"A69-9007-6143","A69-9007","A69-9007-6143",195,NA,NA,"ADC","2022-03-09 21:04:53","UTC",-80.78791,28.62577,"0101000020E61000003F8C101E6D3254C063D1747632A03C40",2022,3,9,68,21.0813888888889,"Titusville","","Fusco, K., et al. 2021.","HCTSA-A69-9007-6143-42888","Kirk Fusco (kirk.fusco@floridadep.gov)","Kirk Fusco (kirk.fusco@floridadep.gov)"
"HCTS","HCTS-A69-9007-6143-2022-03-09","Limulus polyphemus","horseshoe crab","2023-10-18","HCTSA","HCTSA","487549-NE","487549",1.2,0.3,"A69-9007-6143","A69-9007","A69-9007-6143",197,NA,NA,"ADC","2022-03-09 21:09:38","UTC",-80.78791,28.62577,"0101000020E61000003F8C101E6D3254C063D1747632A03C40",2022,3,9,68,21.1605555555556,"Titusville","","Fusco, K., et al. 2021.","HCTSA-A69-9007-6143-42892","Kirk Fusco (kirk.fusco@floridadep.gov)","Kirk Fusco (kirk.fusco@floridadep.gov)"
"HCTS","HCTS-A69-9007-6143-2022-03-09","Limulus polyphemus","horseshoe crab","2023-10-18","HCTSA","HCTSA","487549-NE","487549",1.2,0.3,"A69-9007-6143","A69-9007","A69-9007-6143",195,NA,NA,"ADC","2022-03-09 21:18:24","UTC",-80.78791,28.62577,"0101000020E61000003F8C101E6D3254C063D1747632A03C40",2022,3,9,68,21.3066666666667,"Titusville","","Fusco, K., et al. 2021.","HCTSA-A69-9007-6143-42898","Kirk Fusco (kirk.fusco@floridadep.gov)","Kirk Fusco (kirk.fusco@floridadep.gov)"
"HCTS","HCTS-A69-9007-6143-2022-03-09","Limulus polyphemus","horseshoe crab","2023-10-18","HCTSA","HCTSA","487549-NE","487549",1.2,0.3,"A69-9007-6143","A69-9007","A69-9007-6143",195,NA,NA,"ADC","2022-03-09 21:25:41","UTC",-80.78791,28.62577,"0101000020E61000003F8C101E6D3254C063D1747632A03C40",2022,3,9,68,21.4280555555556,"Titusville","","Fusco, K., et al. 2021.","HCTSA-A69-9007-6143-42903","Kirk Fusco (kirk.fusco@floridadep.gov)","Kirk Fusco (kirk.fusco@floridadep.gov)"
"HCTS","HCTS-A69-9007-6143-2022-03-09","Limulus polyphemus","horseshoe crab","2023-10-18","HCTSA","HCTSA","487549-NE","487549",1.2,0.3,"A69-9007-6143","A69-9007","A69-9007-6143",197,NA,NA,"ADC","2022-03-09 21:29:59","UTC",-80.78791,28.62577,"0101000020E61000003F8C101E6D3254C063D1747632A03C40",2022,3,9,68,21.4997222222222,"Titusville","","Fusco, K., et al. 2021.","HCTSA-A69-9007-6143-42907","Kirk Fusco (kirk.fusco@floridadep.gov)","Kirk Fusco (kirk.fusco@floridadep.gov)"
"HCTS","HCTS-A69-9007-6143-2022-03-09","Limulus polyphemus","horseshoe crab","2023-10-18","HCTSA","HCTSA","487549-NE","487549",1.2,0.3,"A69-9007-6143","A69-9007","A69-9007-6143",196,NA,NA,"ADC","2022-03-09 21:33:40","UTC",-80.78791,28.62577,"0101000020E61000003F8C101E6D3254C063D1747632A03C40",2022,3,9,68,21.5611111111111,"Titusville","","Fusco, K., et al. 2021.","HCTSA-A69-9007-6143-42910","Kirk Fusco (kirk.fusco@floridadep.gov)","Kirk Fusco (kirk.fusco@floridadep.gov)"
