"collectioncode","catalognumber","scientificname","commonname","datelastmodified","detectedby","receiver_group","station","receiver","bottom_depth","receiver_depth","tagname","codespace","sensorname","sensorraw","sensortype","sensorvalue","sensorunit","datecollected","timezone","longitude","latitude","the_geom","yearcollected","monthcollected","daycollected","julianday","timeofday","local_area","notes","citation","unqdetecid","contact_poc","contact_pi"
"HCTS","HCTS-A69-9007-6140-2022-02-17","Limulus polyphemus","horseshoe crab","2023-08-20","HCTS","HCTS","Gator Creek","release",NA,NA,"A69-9007-6140","","",NA,NA,NA,"","2022-02-17 12:00:00","UTC",-80.78707,28.62756,"0101000020E61000006A6AD95A5F3254C07B4FE5B4A7A03C40",2022,2,17,48,12,"Gator Creek","AGE: Y; AGE_UNITS: Y,M,O","Fusco, K., et al. 2021.","HCTS-A69-9007-6140-2022-02-17-release-A69-9007-6140","Kirk Fusco (kirk.fusco@floridadep.gov)","Kirk Fusco (kirk.fusco@floridadep.gov)"
"HCTS","HCTS-A69-9007-6140-2022-02-17","Limulus polyphemus","horseshoe crab","2023-10-18","HCTSA","HCTSA","487549-NE","487549",1.2,0.3,"A69-9007-6140","A69-9007","A69-9007-6140",173,NA,NA,"ADC","2022-02-18 02:49:42","UTC",-80.78791,28.62577,"0101000020E61000003F8C101E6D3254C063D1747632A03C40",2022,2,18,49,2.82833333333333,"Titusville","","Fusco, K., et al. 2021.","HCTSA-A69-9007-6140-20428","Kirk Fusco (kirk.fusco@floridadep.gov)","Kirk Fusco (kirk.fusco@floridadep.gov)"
"HCTS","HCTS-A69-9007-6140-2022-02-17","Limulus polyphemus","horseshoe crab","2023-10-18","HCTSA","HCTSA","487549-NE","487549",1.2,0.3,"A69-9007-6140","A69-9007","A69-9007-6140",172,NA,NA,"ADC","2022-02-18 02:53:42","UTC",-80.78791,28.62577,"0101000020E61000003F8C101E6D3254C063D1747632A03C40",2022,2,18,49,2.895,"Titusville","","Fusco, K., et al. 2021.","HCTSA-A69-9007-6140-20432","Kirk Fusco (kirk.fusco@floridadep.gov)","Kirk Fusco (kirk.fusco@floridadep.gov)"
"HCTS","HCTS-A69-9007-6140-2022-02-17","Limulus polyphemus","horseshoe crab","2023-10-18","HCTSA","HCTSA","487549-NE","487549",1.2,0.3,"A69-9007-6140","A69-9007","A69-9007-6140",173,NA,NA,"ADC","2022-02-18 02:58:28","UTC",-80.78791,28.62577,"0101000020E61000003F8C101E6D3254C063D1747632A03C40",2022,2,18,49,2.97444444444444,"Titusville","","Fusco, K., et al. 2021.","HCTSA-A69-9007-6140-20435","Kirk Fusco (kirk.fusco@floridadep.gov)","Kirk Fusco (kirk.fusco@floridadep.gov)"
"HCTS","HCTS-A69-9007-6140-2022-02-17","Limulus polyphemus","horseshoe crab","2023-10-18","HCTSA","HCTSA","487549-NE","487549",1.2,0.3,"A69-9007-6140","A69-9007","A69-9007-6140",173,NA,NA,"ADC","2022-02-18 03:11:01","UTC",-80.78791,28.62577,"0101000020E61000003F8C101E6D3254C063D1747632A03C40",2022,2,18,49,3.18361111111111,"Titusville","","Fusco, K., et al. 2021.","HCTSA-A69-9007-6140-20452","Kirk Fusco (kirk.fusco@floridadep.gov)","Kirk Fusco (kirk.fusco@floridadep.gov)"
"HCTS","HCTS-A69-9007-6140-2022-02-17","Limulus polyphemus","horseshoe crab","2023-10-18","HCTSA","HCTSA","487549-NE","487549",1.2,0.3,"A69-9007-6140","A69-9007","A69-9007-6140",172,NA,NA,"ADC","2022-02-18 03:15:06","UTC",-80.78791,28.62577,"0101000020E61000003F8C101E6D3254C063D1747632A03C40",2022,2,18,49,3.25166666666667,"Titusville","","Fusco, K., et al. 2021.","HCTSA-A69-9007-6140-20458","Kirk Fusco (kirk.fusco@floridadep.gov)","Kirk Fusco (kirk.fusco@floridadep.gov)"
"HCTS","HCTS-A69-9007-6140-2022-02-17","Limulus polyphemus","horseshoe crab","2023-10-18","HCTSA","HCTSA","487549-NE","487549",1.2,0.3,"A69-9007-6140","A69-9007","A69-9007-6140",172,NA,NA,"ADC","2022-02-18 03:18:20","UTC",-80.78791,28.62577,"0101000020E61000003F8C101E6D3254C063D1747632A03C40",2022,2,18,49,3.30555555555556,"Titusville","","Fusco, K., et al. 2021.","HCTSA-A69-9007-6140-20460","Kirk Fusco (kirk.fusco@floridadep.gov)","Kirk Fusco (kirk.fusco@floridadep.gov)"
"HCTS","HCTS-A69-9007-6140-2022-02-17","Limulus polyphemus","horseshoe crab","2023-10-18","HCTSA","HCTSA","487549-NE","487549",1.2,0.3,"A69-9007-6140","A69-9007","A69-9007-6140",172,NA,NA,"ADC","2022-02-18 03:21:35","UTC",-80.78791,28.62577,"0101000020E61000003F8C101E6D3254C063D1747632A03C40",2022,2,18,49,3.35972222222222,"Titusville","","Fusco, K., et al. 2021.","HCTSA-A69-9007-6140-20470","Kirk Fusco (kirk.fusco@floridadep.gov)","Kirk Fusco (kirk.fusco@floridadep.gov)"
"HCTS","HCTS-A69-9007-6140-2022-02-17","Limulus polyphemus","horseshoe crab","2023-10-18","HCTSA","HCTSA","487549-NE","487549",1.2,0.3,"A69-9007-6140","A69-9007","A69-9007-6140",172,NA,NA,"ADC","2022-02-18 03:24:51","UTC",-80.78791,28.62577,"0101000020E61000003F8C101E6D3254C063D1747632A03C40",2022,2,18,49,3.41416666666667,"Titusville","","Fusco, K., et al. 2021.","HCTSA-A69-9007-6140-20475","Kirk Fusco (kirk.fusco@floridadep.gov)","Kirk Fusco (kirk.fusco@floridadep.gov)"
"HCTS","HCTS-A69-9007-6140-2022-02-17","Limulus polyphemus","horseshoe crab","2023-10-18","HCTSA","HCTSA","487549-NE","487549",1.2,0.3,"A69-9007-6140","A69-9007","A69-9007-6140",172,NA,NA,"ADC","2022-02-18 03:34:41","UTC",-80.78791,28.62577,"0101000020E61000003F8C101E6D3254C063D1747632A03C40",2022,2,18,49,3.57805555555556,"Titusville","","Fusco, K., et al. 2021.","HCTSA-A69-9007-6140-20486","Kirk Fusco (kirk.fusco@floridadep.gov)","Kirk Fusco (kirk.fusco@floridadep.gov)"
